key,highlight
2020::REG_GLOBAL::DTP1,"2020 saw an increase in\nnumber of children without DTP1\nby over 3 million worldwide."
2021::REG_GLOBAL::DTP1,"2021 saw another\nincrease by over\n2 million worldwide"
2020::SEAR::DTP1,"Until 2019 South East Asia and E. Mediterranean region had\nsimilar number of unvaccinated children. However, S.E Asia\nhad a lower percentage due to its larger population. This\ntrend reversed during and after pandemic. Now, S.E Asia has\nhigher number as well as higher percentage."
2020::EMR::DTP1,"E. Mediterranean region saw a slight impact in 2020\nand it also recovered a bit by 2021."
2019::AFR::DTP1,"Africa had much lower coverage % even before\nand it got worse during the pandemic."
