region_code,region_name,Vaccine,Coverage_2015,Coverage_2016,Coverage_2017,Coverage_2018,Coverage_2019,Coverage_2020,Coverage_2021,Not Covered_2015,Not Covered_2016,Not Covered_2017,Not Covered_2018,Not Covered_2019,Not Covered_2020,Not Covered_2021,Target_2015,Target_2016,Target_2017,Target_2018,Target_2019,Target_2020,Target_2021,Unvaccinated_2015,Unvaccinated_2016,Unvaccinated_2017,Unvaccinated_2018,Unvaccinated_2019,Unvaccinated_2020,Unvaccinated_2021,Vaccinated_2015,Vaccinated_2016,Vaccinated_2017,Vaccinated_2018,Vaccinated_2019,Vaccinated_2020,Vaccinated_2021
AFR,Africa,BCG,78.02654033264564,80.84482326397593,82.1145417836214,81.88677420134943,81.90700328055912,81.55926959049249,77.2263515073173,21.973459667354362,19.155176736024075,17.885458216378595,18.113225798650575,18.092996719440876,18.44073040950751,22.773648492682696,39261000.0,39890000.0,40614000.0,41351000.0,42066000.0,42661000.0,43322000.0,8627000.0,7641000.0,7264000.0,7490000.0,7611000.0,7867000.0,9866000.0,30634000.0,32249000.0,33350000.0,33861000.0,34455000.0,34794000.0,33456000.0
AFR,Africa,DTP1,79.31328414267068,81.45326001571091,81.77682976973685,82.23976195279403,82.61386432870198,81.3785531291936,80.08355542750127,20.686715857329318,18.54673998428909,18.22317023026315,17.760238047205974,17.38613567129802,18.621446870806395,19.916444572498733,37541000.0,38190000.0,38912000.0,39656000.0,40377000.0,40985000.0,41649000.0,7766000.0,7083000.0,7091000.0,7043000.0,7020000.0,7632000.0,8295000.0,29775000.0,31107000.0,31821000.0,32613000.0,33357000.0,33353000.0,33354000.0
AFR,Africa,DTP3,71.01835326709465,73.50615344330976,73.9026521381579,73.98376033891466,74.65884042895709,72.77296571916555,70.70998103195755,28.981646732905347,26.493846556690244,26.097347861842096,26.016239661085336,25.34115957104291,27.227034280834445,29.290018968042446,37541000.0,38190000.0,38912000.0,39656000.0,40377000.0,40985000.0,41649000.0,10880000.0,10118000.0,10155000.0,10317000.0,10232000.0,11159000.0,12199000.0,26661000.0,28072000.0,28757000.0,29339000.0,30145000.0,29826000.0,29450000.0
AFR,Africa,Hepb3,70.89848432380597,73.37784760408483,73.75873766447368,73.95350010086746,74.55234415632663,72.67536903745273,70.6019352205335,29.101515676194026,26.622152395915165,26.241262335526315,26.04649989913254,25.447655843673374,27.324630962547275,29.398064779466495,37541000.0,38190000.0,38912000.0,39656000.0,40377000.0,40985000.0,41649000.0,10925000.0,10167000.0,10211000.0,10329000.0,10275000.0,11199000.0,12244000.0,26616000.0,28023000.0,28701000.0,29327000.0,30102000.0,29786000.0,29405000.0
AFR,Africa,Hepbb,38.84435937313076,40.10897364616925,40.819240061497915,49.99457052883049,54.77052549173109,57.748957850856875,59.42213338179175,61.15564062686924,59.89102635383075,59.180759938502085,50.00542947116951,45.22947450826891,42.251042149143125,40.57786661820825,8359000.0,8993000.0,9106000.0,9209000.0,10219000.0,10795000.0,11006000.0,5112000.0,5386000.0,5389000.0,4605000.0,4622000.0,4561000.0,4466000.0,3247000.0,3607000.0,3717000.0,4604000.0,5597000.0,6234000.0,6540000.0
AFR,Africa,Hib3,70.89848432380597,73.42236187483634,73.75873766447368,73.95350010086746,74.55234415632663,72.6021715261681,70.6019352205335,29.101515676194026,26.57763812516366,26.241262335526315,26.04649989913254,25.447655843673374,27.397828473831893,29.398064779466495,37541000.0,38190000.0,38912000.0,39656000.0,40377000.0,40985000.0,41649000.0,10925000.0,10150000.0,10211000.0,10329000.0,10275000.0,11229000.0,12244000.0,26616000.0,28040000.0,28701000.0,29327000.0,30102000.0,29756000.0,29405000.0
AFR,Africa,IPV1,37.73967551622419,57.941629390628435,57.517087903354,62.60691514177596,73.59883101765857,73.31462730267171,71.06773271867272,62.26032448377581,42.058370609371565,42.482912096646,37.39308485822404,26.40116898234143,26.68537269732829,28.932267281327285,21696000.0,27274000.0,31455000.0,38582000.0,40377000.0,40985000.0,41649000.0,13508000.0,11471000.0,13363000.0,14427000.0,10660000.0,10937000.0,12050000.0,8188000.0,15803000.0,18092000.0,24155000.0,29717000.0,30048000.0,29599000.0
AFR,Africa,MCV1,68.3359526917237,68.09636030374445,69.57493832236842,69.23290296550333,70.09931396587166,68.90813712333781,66.68107277485655,31.664047308276295,31.903639696255553,30.425061677631575,30.767097034496672,29.90068603412834,31.09186287666219,33.318927225143455,37541000.0,38190000.0,38912000.0,39656000.0,40377000.0,40985000.0,41649000.0,11887000.0,12184000.0,11839000.0,12201000.0,12073000.0,12743000.0,13877000.0,25654000.0,26006000.0,27073000.0,27455000.0,28304000.0,28242000.0,27772000.0
AFR,Africa,MCV2,49.46728889671569,56.7906940913643,62.43350565670188,64.58703374777976,45.83948008452614,52.04047838086476,51.69794146478084,50.53271110328431,43.2093059086357,37.56649434329812,35.412966252220244,54.16051991547386,47.95952161913524,48.30205853521916,11357000.0,12981000.0,13347000.0,13512000.0,25081000.0,27175000.0,28564000.0,5739000.0,5609000.0,5014000.0,4785000.0,13584000.0,13033000.0,13797000.0,5618000.0,7372000.0,8333000.0,8727000.0,11497000.0,14142000.0,14767000.0
AFR,Africa,PCV3,64.19984121583305,69.33783783783784,72.32992971754409,72.86836832930034,72.99818539627367,71.04474605292978,68.50856109225165,35.80015878416695,30.66216216216216,27.67007028245591,27.13163167069966,27.00181460372633,28.95525394707022,31.491438907748346,35268000.0,37000000.0,37705000.0,38433000.0,39127000.0,39713000.0,40357000.0,12626000.0,11345000.0,10433000.0,10427500.0,10565000.0,11499000.0,12709000.0,22642000.0,25655000.0,27272000.0,28005500.0,28562000.0,28214000.0,27648000.0
