region_code,Year,Vaccine,Vaccinated,Target,Coverage,Not Covered,Unvaccinated,region_name
AFR,2018,YFV,15138000.0,25401000.0,59.596078894531715,40.403921105468285,10263000.0,Africa
AFR,2019,BCG,34455000.0,42066000.0,81.90700328055912,18.092996719440876,7611000.0,Africa
AFR,2019,DTP1,33357000.0,40377000.0,82.61386432870198,17.38613567129802,7020000.0,Africa
AFR,2019,DTP3,30145000.0,40377000.0,74.65884042895709,25.34115957104291,10232000.0,Africa
AFR,2019,Hepb3,30102000.0,40377000.0,74.55234415632663,25.447655843673374,10275000.0,Africa
AFR,2019,Hepbb,5597000.0,10219000.0,54.77052549173109,45.22947450826891,4622000.0,Africa
AFR,2019,Hib3,30102000.0,40377000.0,74.55234415632663,25.447655843673374,10275000.0,Africa
AFR,2019,IPV1,29717000.0,40377000.0,73.59883101765857,26.40116898234143,10660000.0,Africa
AFR,2019,MCV1,28304000.0,40377000.0,70.09931396587166,29.90068603412834,12073000.0,Africa
AFR,2019,MCV2,11497000.0,25081000.0,45.83948008452614,54.16051991547386,13584000.0,Africa
AFR,2019,PCV3,28562000.0,39127000.0,72.99818539627367,27.00181460372633,10565000.0,Africa
AFR,2019,Pol3,30014000.0,40377000.0,74.33439829605963,25.665601703940368,10363000.0,Africa
AFR,2019,RCV1,11983000.0,14712000.0,81.4505165851006,18.5494834148994,2729000.0,Africa
AFR,2019,Rotac,18425000.0,30235000.0,60.939308748139574,39.060691251860426,11810000.0,Africa
AFR,2019,YFV,15706000.0,25850000.0,60.75822050290135,39.24177949709865,10144000.0,Africa
AFR,2020,BCG,34794000.0,42661000.0,81.55926959049249,18.44073040950751,7867000.0,Africa
AFR,2020,DTP1,33353000.0,40985000.0,81.3785531291936,18.621446870806395,7632000.0,Africa
AFR,2020,DTP3,29826000.0,40985000.0,72.77296571916555,27.227034280834445,11159000.0,Africa
AFR,2020,Hepb3,29786000.0,40985000.0,72.67536903745273,27.324630962547275,11199000.0,Africa
AFR,2020,Hepbb,6234000.0,10795000.0,57.748957850856875,42.251042149143125,4561000.0,Africa
AFR,2020,Hib3,29756000.0,40985000.0,72.6021715261681,27.397828473831893,11229000.0,Africa
AFR,2020,IPV1,30048000.0,40985000.0,73.31462730267171,26.68537269732829,10937000.0,Africa
AFR,2020,MCV1,28242000.0,40985000.0,68.90813712333781,31.09186287666219,12743000.0,Africa
AFR,2020,MCV2,14142000.0,27175000.0,52.04047838086476,47.95952161913524,13033000.0,Africa
AFR,2020,PCV3,28214000.0,39713000.0,71.04474605292978,28.95525394707022,11499000.0,Africa
AFR,2020,Pol3,29141000.0,40985000.0,71.10162254483348,28.898377455166525,11844000.0,Africa
AFR,2020,RCV1,13372000.0,16725000.0,79.95216741405082,20.04783258594918,3353000.0,Africa
AFR,2020,Rotac,20279000.0,31167000.0,65.06561427150511,34.93438572849489,10888000.0,Africa
