REF_AREA:Geographic area,2018,2019,2020,2021,delta,delta_rank
NLD: Netherlands (Kingdom of the),97,98,98,98,0,125.0
NOR: Norway,99,99,98,98,-1,75.0
NPL: Nepal,96,96,89,92,-7,25.0
NRU: Nauru,99,99,99,99,0,125.0
NZL: New Zealand,95,94,94,93,0,125.0
OMN: Oman,99,99,99,99,0,125.0
PAK: Pakistan,87,90,83,90,-7,25.0
PAN: Panama,97,97,93,93,-4,42.5
PER: Peru,90,97,93,90,-4,42.5
PHL: Philippines,78,73,74,57,1,174.0
PLW: Palau,99,99,99,99,0,125.0
PNG: Papua New Guinea,44,44,48,39,4,191.0
POL: Poland,99,99,99,99,0,125.0
PRK: Democratic People's Republic of Korea,99,98,98,42,0,125.0
PRT: Portugal,99,99,99,99,0,125.0
PRY: Paraguay,91,88,84,79,-4,42.5
PSE: State of Palestine,99,99,99,99,0,125.0
QAT: Qatar,99,99,96,99,-3,54.0
ROU: Romania,94,96,95,95,-1,75.0
RUS: Russian Federation,97,97,97,97,0,125.0
RWA: Rwanda,98,99,91,90,-8,18.5
SAU: Saudi Arabia,96,96,96,97,0,125.0
SDN: Sudan,97,97,96,94,-1,75.0
SEN: Senegal,96,97,93,87,-4,42.5
SGP: Singapore,98,98,98,98,0,125.0
SLB: Solomon Islands,86,99,98,95,-1,75.0
SLE: Sierra Leone,97,95,93,94,-2,64.5
SLV: El Salvador,82,82,79,72,-3,54.0
SMR: San Marino,94,90,92,91,2,184.0
SOM: Somalia,52,52,52,52,0,125.0
SRB: Serbia,98,99,97,97,-2,64.5
SSD: South Sudan,51,51,51,51,0,125.0
STP: Sao Tome and Principe,97,97,97,97,0,125.0
SUR: Suriname,83,81,60,81,-21,1.0
SVK: Slovakia,99,99,98,97,-1,75.0
SVN: Slovenia,97,98,98,92,0,125.0
SWE: Sweden,99,98,98,98,0,125.0
SWZ: Eswatini,96,96,87,86,-9,13.0
SYC: Seychelles,99,99,99,99,0,125.0
SYR: Syrian Arab Republic,67,72,65,65,-7,25.0
TCD: Chad,61,65,69,73,4,191.0
TGO: Togo,88,90,87,88,-3,54.0
THA: Thailand,99,99,99,99,0,125.0
TJK: Tajikistan,98,98,98,97,0,125.0
TKM: Turkmenistan,99,99,99,99,0,125.0
TLS: Timor-Leste,92,90,87,87,-3,54.0
TON: Tonga,99,99,99,99,0,125.0
TTO: Trinidad and Tobago,99,97,98,95,1,174.0
TUN: Tunisia,98,98,99,99,1,174.0
TUR: Türkiye,99,99,99,95,0,125.0
TUV: Tuvalu,99,99,99,99,0,125.0
TZA: United Republic of Tanzania,91,91,88,82,-3,54.0
UGA: Uganda,97,96,94,97,-2,64.5
UKR: Ukraine,87,89,93,91,4,191.0
URY: Uruguay,96,99,98,95,-1,75.0
USA: United States,97,97,97,97,0,125.0
UZB: Uzbekistan,99,96,96,99,0,125.0
VCT: Saint Vincent and the Grenadines,97,99,99,99,0,125.0
VEN: Venezuela (Bolivarian Republic of),84,85,73,73,-12,6.0
VNM: Viet Nam,78,96,96,87,0,125.0
VUT: Vanuatu,94,96,84,71,-12,6.0
WSM: Samoa,67,97,99,96,2,184.0
YEM: Yemen,75,81,83,82,2,184.0
ZAF: South Africa,84,87,88,91,1,174.0
ZMB: Zambia,94,94,88,94,-6,30.5
ZWE: Zimbabwe,94,94,93,93,-1,75.0
